Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Marzo 2020,"18,8 €/m2","0,0 %","+ 1,0 %","+ 2,3 %"
Febrero 2020,"18,8 €/m2","+ 0,2 %","+ 1,0 %","+ 2,3 %"
Enero 2020,"18,7 €/m2","+ 0,8 %","+ 1,6 %","+ 1,5 %"
Diciembre 2019,"18,6 €/m2","0,0 %","+ 1,3 %","+ 1,5 %"
Noviembre 2019,"18,6 €/m2","+ 0,8 %","+ 2,1 %","+ 0,6 %"
Octubre 2019,"18,4 €/m2","+ 0,5 %","+ 1,3 %","- 1,1 %"
Septiembre 2019,"18,3 €/m2","+ 0,8 %","+ 0,8 %","- 1,2 %"
Agosto 2019,"18,2 €/m2","0,0 %","- 0,5 %","- 1,5 %"
Julio 2019,"18,2 €/m2","0,0 %","- 0,6 %","- 1,6 %"
Junio 2019,"18,2 €/m2","- 0,5 %","- 0,8 %","- 3,0 %"
Mayo 2019,"18,3 €/m2","- 0,1 %","- 0,3 %","- 2,6 %"
Abril 2019,"18,3 €/m2","- 0,3 %","- 0,9 %","- 2,5 %"
Marzo 2019,"18,3 €/m2","0,0 %","+ 0,2 %","- 2,5 %"
Febrero 2019,"18,3 €/m2","- 0,7 %","- 0,7 %","- 1,8 %"
Enero 2019,"18,5 €/m2","+ 0,9 %","- 0,9 %","- 0,9 %"
Diciembre 2018,"18,3 €/m2","- 0,9 %","- 1,5 %","- 2,4 %"
Noviembre 2018,"18,5 €/m2","- 0,9 %","0,0 %","- 2,1 %"
Octubre 2018,"18,6 €/m2","+ 0,3 %","+ 0,8 %","- 2,3 %"
Septiembre 2018,"18,6 €/m2","+ 0,6 %","- 1,0 %","- 2,9 %"
Agosto 2018,"18,5 €/m2","- 0,1 %","- 1,6 %","- 3,0 %"
Julio 2018,"18,5 €/m2","- 1,5 %","- 1,5 %","- 3,9 %"
Junio 2018,"18,7 €/m2",n.d.,"- 0,3 %","- 3,0 %"
Mayo 2018,"18,7 €/m2","0,0 %","+ 0,4 %","- 3,0 %"
Abril 2018,"18,8 €/m2","- 0,3 %","+ 0,7 %","- 2,5 %"
Marzo 2018,"18,8 €/m2","+ 0,8 %","+ 0,3 %","+ 0,3 %"
Febrero 2018,"18,7 €/m2","+ 0,2 %","- 1,0 %","- 0,4 %"
Enero 2018,"18,6 €/m2","- 0,7 %","- 2,3 %","+ 0,1 %"
Diciembre 2017,"18,7 €/m2","- 0,5 %","- 1,9 %","0,0 %"
Noviembre 2017,"18,8 €/m2","- 1,1 %","- 0,9 %","+ 3,0 %"
