Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Marzo 2020,"16,0 €/m2","+ 1,3 %","+ 2,7 %","- 2,2 %"
Febrero 2020,"15,8 €/m2","+ 2,6 %","- 0,6 %","- 4,0 %"
Enero 2020,"15,4 €/m2","- 1,1 %","- 5,6 %","- 6,2 %"
Diciembre 2019,"15,6 €/m2","- 2,0 %","- 4,2 %","- 3,2 %"
Noviembre 2019,"15,9 €/m2","- 2,6 %","- 0,8 %","- 0,6 %"
Octubre 2019,"16,3 €/m2","+ 0,4 %","+ 0,2 %","+ 2,1 %"
Septiembre 2019,"16,2 €/m2","+ 1,5 %","- 2,6 %","+ 3,7 %"
Agosto 2019,"16,0 €/m2","- 1,7 %","- 3,4 %","+ 2,4 %"
Julio 2019,"16,3 €/m2","- 2,4 %","- 1,2 %","+ 1,0 %"
Junio 2019,"16,7 €/m2","+ 0,7 %","+ 2,0 %","+ 1,3 %"
Mayo 2019,"16,6 €/m2","+ 0,6 %","+ 0,7 %","- 1,6 %"
Abril 2019,"16,5 €/m2","+ 0,7 %","+ 0,4 %","- 2,7 %"
Marzo 2019,"16,4 €/m2","- 0,6 %","+ 1,8 %","- 2,9 %"
Febrero 2019,"16,5 €/m2","+ 0,2 %","+ 2,9 %","- 2,7 %"
Enero 2019,"16,4 €/m2","+ 2,1 %","+ 2,7 %","- 2,7 %"
Diciembre 2018,"16,1 €/m2","+ 0,5 %","+ 2,5 %","- 2,9 %"
Noviembre 2018,"16,0 €/m2","+ 0,1 %","+ 2,3 %","- 2,9 %"
Octubre 2018,"16,0 €/m2","+ 1,9 %","- 0,9 %","- 4,1 %"
Septiembre 2018,"15,7 €/m2","+ 0,3 %","- 4,9 %","- 6,0 %"
Agosto 2018,"15,6 €/m2","- 3,0 %","- 7,2 %","- 2,3 %"
Julio 2018,"16,1 €/m2","- 2,2 %","- 4,7 %","+ 1,0 %"
Junio 2018,"16,5 €/m2","- 2,2 %","- 2,2 %","+ 3,0 %"
Mayo 2018,"16,8 €/m2","- 0,5 %","- 0,4 %","+ 3,7 %"
Abril 2018,"16,9 €/m2","+ 0,4 %","+ 0,4 %","+ 3,3 %"
Marzo 2018,"16,8 €/m2","- 0,3 %","+ 1,8 %","+ 3,7 %"
Febrero 2018,"16,9 €/m2","+ 0,2 %","+ 2,7 %","+ 7,6 %"
Enero 2018,"16,9 €/m2","+ 1,8 %","+ 1,3 %","+ 7,5 %"
Diciembre 2017,"16,6 €/m2","+ 0,6 %","- 0,7 %","+ 6,4 %"
Noviembre 2017,"16,5 €/m2","- 1,2 %","+ 2,8 %","+ 5,5 %"
Octubre 2017,"16,7 €/m2","- 0,1 %","+ 4,3 %","+ 11,1 %"
Septiembre 2017,"16,7 €/m2","+ 4,2 %","+ 4,2 %","+ 14,2 %"
Agosto 2017,"16,0 €/m2","+ 0,2 %","- 1,5 %","+ 13,7 %"
Julio 2017,"16,0 €/m2","- 0,2 %","- 2,5 %","+ 16,6 %"
Junio 2017,"16,0 €/m2","- 1,5 %","- 1,5 %","+ 20,0 %"
Mayo 2017,"16,2 €/m2","- 0,9 %","+ 3,4 %","+ 22,8 %"
Abril 2017,"16,4 €/m2","+ 0,8 %","+ 4,4 %","+ 23,6 %"
Marzo 2017,"16,2 €/m2","+ 3,4 %","+ 4,4 %","+ 21,1 %"
Febrero 2017,"15,7 €/m2","+ 0,2 %","+ 0,8 %","+ 15,6 %"
Enero 2017,"15,7 €/m2","+ 0,8 %","+ 4,6 %","+ 17,2 %"
Diciembre 2016,"15,6 €/m2","- 0,2 %","+ 6,6 %","+ 16,7 %"
Noviembre 2016,"15,6 €/m2","+ 4,0 %","+ 10,8 %","+ 19,7 %"
Octubre 2016,"15,0 €/m2","+ 2,7 %","+ 9,5 %","+ 19,5 %"
Septiembre 2016,"14,6 €/m2","+ 3,8 %","+ 9,5 %","+ 21,8 %"
Agosto 2016,"14,1 €/m2","+ 2,7 %","+ 6,4 %","+ 21,2 %"
Julio 2016,"13,7 €/m2","+ 2,8 %","+ 3,3 %","+ 17,3 %"
Junio 2016,"13,3 €/m2","+ 0,8 %","- 0,7 %","+ 12,9 %"
Mayo 2016,"13,2 €/m2","- 0,2 %","- 2,7 %","+ 11,2 %"
Abril 2016,"13,3 €/m2","- 1,2 %","- 0,9 %","+ 12,6 %"
Marzo 2016,"13,4 €/m2","- 1,3 %","+ 0,6 %","+ 16,2 %"
Febrero 2016,"13,6 €/m2","+ 1,6 %","+ 4,4 %","+ 16,4 %"
Enero 2016,"13,4 €/m2","+ 0,3 %","+ 6,6 %","+ 14,6 %"
Diciembre 2015,"13,3 €/m2","+ 2,4 %","+ 11,3 %","+ 16,7 %"
Noviembre 2015,"13,0 €/m2","+ 3,8 %","+ 12,2 %","+ 18,3 %"
Octubre 2015,"12,5 €/m2","+ 4,7 %","+ 7,5 %","+ 14,6 %"
Septiembre 2015,"12,0 €/m2","+ 3,2 %","+ 1,5 %","+ 12,7 %"
Agosto 2015,"11,6 €/m2","- 0,5 %","- 2,4 %","+ 9,1 %"
Julio 2015,"11,7 €/m2","- 1,1 %","- 0,9 %","+ 7,7 %"
Junio 2015,"11,8 €/m2","- 0,7 %","+ 2,2 %","+ 8,9 %"
Mayo 2015,"11,9 €/m2","+ 1,0 %","+ 1,8 %","+ 10,4 %"
Abril 2015,"11,8 €/m2","+ 2,0 %","+ 0,9 %","+ 9,8 %"
Marzo 2015,"11,5 €/m2","- 1,1 %","+ 1,1 %","+ 8,1 %"
Febrero 2015,"11,7 €/m2","0,0 %","+ 6,1 %","+ 8,8 %"
Enero 2015,"11,7 €/m2","+ 2,2 %","+ 6,6 %","+ 8,7 %"
Diciembre 2014,"11,4 €/m2","+ 3,8 %","+ 7,5 %","+ 6,8 %"
