Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2013,"10,0 €/m2","0,0 %","- 2,5 %","- 7,2 %"
Marzo 2013,"10,0 €/m2","0,0 %","- 4,0 %","- 9,1 %"
Febrero 2013,"10,0 €/m2","- 2,5 %","- 4,7 %","- 10,2 %"
Enero 2013,"10,3 €/m2","- 1,6 %","- 3,2 %","- 8,4 %"
Diciembre 2012,"10,4 €/m2","- 0,8 %","- 2,0 %","- 5,9 %"
Noviembre 2012,"10,5 €/m2","- 0,8 %","- 1,6 %","- 4,6 %"
Octubre 2012,"10,6 €/m2","- 0,3 %","- 1,7 %","- 4,1 %"
Septiembre 2012,"10,6 €/m2","- 0,4 %","- 0,5 %","- 3,3 %"
Agosto 2012,"10,7 €/m2","- 0,9 %","- 0,6 %","- 1,5 %"
Julio 2012,"10,8 €/m2","+ 0,9 %","- 0,1 %","- 0,8 %"
Junio 2012,"10,7 €/m2","- 0,5 %","- 3,0 %","- 3,8 %"
Mayo 2012,"10,7 €/m2","- 0,5 %","- 3,7 %","- 4,3 %"
Abril 2012,"10,8 €/m2","- 2,0 %","- 3,7 %","- 6,6 %"
Marzo 2012,"11,0 €/m2","- 1,2 %","- 0,7 %","- 6,1 %"
Febrero 2012,"11,1 €/m2","- 0,5 %","+ 1,2 %","- 5,7 %"
Enero 2012,"11,2 €/m2","+ 1,1 %","+ 1,4 %","- 2,3 %"
Diciembre 2011,"11,1 €/m2","+ 0,6 %","+ 0,7 %","- 3,5 %"
Noviembre 2011,"11,0 €/m2","- 0,3 %","+ 1,6 %","- 5,6 %"
Octubre 2011,"11,0 €/m2","+ 0,5 %","+ 1,8 %","- 5,3 %"
Septiembre 2011,"11,0 €/m2","+ 1,5 %","- 0,9 %","- 6,8 %"
Agosto 2011,"10,8 €/m2","- 0,2 %","- 3,4 %","- 8,8 %"
Julio 2011,"10,9 €/m2","- 2,2 %","- 6,0 %","- 11,2 %"
Junio 2011,"11,1 €/m2","- 1,1 %","- 5,3 %",n.d.
Mayo 2011,"11,2 €/m2","- 2,9 %","- 5,1 %",n.d.
Abril 2011,"11,5 €/m2","- 1,5 %","+ 0,7 %",n.d.
Marzo 2011,"11,7 €/m2","- 0,8 %","+ 2,1 %",n.d.
Febrero 2011,"11,8 €/m2","+ 3,0 %","+ 1,2 %",n.d.
Enero 2011,"11,5 €/m2","- 0,1 %","- 1,7 %",n.d.
Diciembre 2010,"11,5 €/m2","- 1,7 %","- 2,7 %",n.d.
Noviembre 2010,"11,7 €/m2",n.d.,"- 1,8 %",n.d.
Octubre 2010,"11,7 €/m2","- 1,1 %","- 4,5 %",n.d.
Septiembre 2010,"11,8 €/m2","- 0,7 %",n.d.,n.d.
Agosto 2010,"11,9 €/m2","- 2,8 %",n.d.,n.d.
Julio 2010,"12,2 €/m2",n.d.,n.d.,n.d.
Junio 2010,n.d.,n.d.,n.d.,n.d.
Mayo 2010,n.d.,n.d.,n.d.,n.d.
Abril 2010,n.d.,n.d.,n.d.,n.d.
Marzo 2010,n.d.,n.d.,n.d.,n.d.
Febrero 2010,n.d.,n.d.,n.d.,n.d.
Enero 2010,n.d.,n.d.,n.d.,n.d.
Diciembre 2009,n.d.,n.d.,n.d.,n.d.
Noviembre 2009,n.d.,n.d.,n.d.,n.d.
Octubre 2009,n.d.,n.d.,n.d.,n.d.
Septiembre 2009,n.d.,n.d.,n.d.,n.d.
Agosto 2009,n.d.,n.d.,n.d.,n.d.
Julio 2009,n.d.,n.d.,n.d.,n.d.
Junio 2009,n.d.,n.d.,n.d.,n.d.
Mayo 2009,n.d.,n.d.,n.d.,n.d.
Abril 2009,n.d.,n.d.,n.d.,n.d.
Marzo 2009,n.d.,n.d.,n.d.,n.d.
Febrero 2009,n.d.,n.d.,n.d.,n.d.
Enero 2009,n.d.,n.d.,n.d.,n.d.
Diciembre 2008,n.d.,n.d.,n.d.,n.d.
Noviembre 2008,n.d.,n.d.,n.d.,n.d.
Octubre 2008,n.d.,n.d.,n.d.,n.d.
Septiembre 2008,n.d.,n.d.,n.d.,n.d.
Agosto 2008,n.d.,n.d.,n.d.,n.d.
Julio 2008,n.d.,n.d.,n.d.,n.d.
Junio 2008,n.d.,n.d.,n.d.,n.d.
Mayo 2008,n.d.,n.d.,n.d.,n.d.
Abril 2008,n.d.,n.d.,n.d.,n.d.
Marzo 2008,n.d.,n.d.,n.d.,n.d.
Febrero 2008,n.d.,n.d.,n.d.,n.d.
Enero 2008,n.d.,n.d.,n.d.,n.d.
Diciembre 2007,n.d.,n.d.,n.d.,n.d.
Noviembre 2007,n.d.,n.d.,n.d.,n.d.
Octubre 2007,n.d.,n.d.,n.d.,n.d.
Septiembre 2007,n.d.,n.d.,n.d.,n.d.
Agosto 2007,n.d.,n.d.,n.d.,n.d.
Julio 2007,n.d.,n.d.,n.d.,n.d.
Junio 2007,n.d.,n.d.,n.d.,n.d.
Mayo 2007,n.d.,n.d.,n.d.,n.d.
Abril 2007,n.d.,n.d.,n.d.,n.d.
Marzo 2007,n.d.,n.d.,n.d.,n.d.
Febrero 2007,n.d.,n.d.,n.d.,n.d.
Enero 2007,n.d.,n.d.,n.d.,n.d.
Diciembre 2006,n.d.,n.d.,n.d.,n.d.
Noviembre 2006,n.d.,n.d.,n.d.,n.d.
Octubre 2006,n.d.,n.d.,n.d.,n.d.
Septiembre 2006,n.d.,n.d.,n.d.,n.d.
Agosto 2006,n.d.,n.d.,n.d.,n.d.
Julio 2006,n.d.,n.d.,n.d.,n.d.
Junio 2006,n.d.,n.d.,n.d.,n.d.
Mayo 2006,n.d.,n.d.,n.d.,n.d.
Abril 2006,n.d.,n.d.,n.d.,n.d.
Marzo 2006,n.d.,n.d.,n.d.,n.d.
Febrero 2006,n.d.,n.d.,n.d.,n.d.
Enero 2006,n.d.,n.d.,n.d.,n.d.
