Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Septiembre 2020,"15,7 €/m2","- 0,7 %","- 5,6 %","- 4,5 %"
Agosto 2020,"15,8 €/m2","- 2,0 %","- 8,9 %","- 3,9 %"
Julio 2020,"16,2 €/m2","- 3,1 %","- 4,5 %","- 2,3 %"
Junio 2020,"16,7 €/m2","- 4,2 %","0,0 %","0,0 %"
Mayo 2020,"17,4 €/m2","+ 2,8 %","+ 4,8 %","+ 5,4 %"
Abril 2020,"16,9 €/m2","+ 1,5 %","+ 2,5 %","+ 2,4 %"
Marzo 2020,"16,7 €/m2","+ 0,4 %","+ 2,5 %","+ 1,6 %"
Febrero 2020,"16,6 €/m2","+ 0,5 %","+ 2,1 %","+ 1,4 %"
Enero 2020,"16,5 €/m2","+ 1,6 %","+ 0,3 %","+ 1,2 %"
Diciembre 2019,"16,3 €/m2","0,0 %","- 1,3 %","- 0,7 %"
Noviembre 2019,"16,3 €/m2","- 1,3 %","- 1,3 %","- 1,6 %"
Octubre 2019,"16,5 €/m2","0,0 %","- 0,4 %","- 0,2 %"
Septiembre 2019,"16,5 €/m2","0,0 %","- 1,2 %","+ 1,0 %"
Agosto 2019,"16,5 €/m2","- 0,4 %","- 0,2 %","+ 1,4 %"
Julio 2019,"16,5 €/m2","- 0,8 %","0,0 %","+ 0,6 %"
Junio 2019,"16,7 €/m2","+ 1,0 %","+ 1,6 %","+ 0,2 %"
Mayo 2019,"16,5 €/m2","- 0,2 %","+ 0,9 %","- 1,1 %"
Abril 2019,"16,5 €/m2","+ 0,7 %","+ 1,3 %","- 0,8 %"
Marzo 2019,"16,4 €/m2","+ 0,3 %","+ 0,3 %","- 1,6 %"
Febrero 2019,"16,4 €/m2","+ 0,3 %","- 1,0 %","- 1,9 %"
Enero 2019,"16,3 €/m2","- 0,3 %","- 1,1 %","- 1,0 %"
Diciembre 2018,"16,4 €/m2","- 0,9 %","+ 0,4 %","- 2,0 %"
