Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Septiembre 2020,"15,5 €/m2","- 0,4 %","- 4,4 %","- 2,3 %"
Agosto 2020,"15,5 €/m2","- 1,0 %","- 6,5 %","- 1,6 %"
Julio 2020,"15,7 €/m2","- 3,1 %","- 2,0 %","- 2,0 %"
Junio 2020,"16,2 €/m2","- 2,5 %","+ 2,4 %","- 0,3 %"
Mayo 2020,"16,6 €/m2","+ 3,8 %","+ 5,8 %","+ 2,4 %"
Abril 2020,"16,0 €/m2","+ 1,2 %","+ 2,7 %","+ 0,1 %"
Marzo 2020,"15,8 €/m2","+ 0,7 %","+ 3,2 %","0,0 %"
Febrero 2020,"15,7 €/m2","+ 0,7 %","+ 2,4 %","- 0,5 %"
Enero 2020,"15,6 €/m2","+ 1,7 %","- 0,2 %","- 0,1 %"
Diciembre 2019,"15,3 €/m2","0,0 %","- 3,2 %","- 1,5 %"
Noviembre 2019,"15,3 €/m2","- 1,8 %","- 3,0 %","- 2,3 %"
Octubre 2019,"15,6 €/m2","- 1,4 %","- 2,5 %","- 1,1 %"
Septiembre 2019,"15,8 €/m2","+ 0,2 %","- 2,5 %","+ 1,3 %"
Agosto 2019,"15,8 €/m2","- 1,3 %","- 2,7 %","+ 1,1 %"
Julio 2019,"16,0 €/m2","- 1,4 %","+ 0,1 %","+ 2,5 %"
Junio 2019,"16,2 €/m2","+ 0,1 %","+ 2,7 %","+ 4,4 %"
Mayo 2019,"16,2 €/m2","+ 1,5 %","+ 2,9 %","+ 4,3 %"
Abril 2019,"16,0 €/m2","+ 1,1 %","+ 2,5 %","+ 3,3 %"
Marzo 2019,"15,8 €/m2","+ 0,2 %","+ 1,6 %","+ 0,1 %"
Febrero 2019,"15,8 €/m2","+ 1,1 %","+ 0,5 %","+ 0,9 %"
Enero 2019,"15,6 €/m2","+ 0,3 %","- 1,2 %","+ 1,1 %"
Diciembre 2018,"15,5 €/m2","- 0,8 %","- 0,5 %","+ 0,9 %"
Noviembre 2018,"15,7 €/m2","- 0,6 %","+ 0,5 %","+ 1,4 %"
Octubre 2018,"15,8 €/m2","+ 0,9 %","+ 1,1 %","- 0,5 %"
Septiembre 2018,"15,6 €/m2","+ 0,1 %","+ 0,5 %","- 1,0 %"
Agosto 2018,"15,6 €/m2","0,0 %","+ 0,4 %","- 1,2 %"
Julio 2018,"15,6 €/m2","+ 0,4 %","+ 0,9 %","- 0,8 %"
Junio 2018,"15,5 €/m2","- 0,1 %","- 1,5 %","- 0,6 %"
Mayo 2018,"15,6 €/m2","+ 0,6 %","- 0,4 %","+ 1,9 %"
Abril 2018,"15,5 €/m2","- 2,0 %","+ 0,3 %","+ 0,7 %"
Marzo 2018,"15,8 €/m2","+ 1,0 %","+ 2,4 %","+ 0,7 %"
Febrero 2018,"15,6 €/m2","+ 1,3 %","+ 1,1 %","0,0 %"
Enero 2018,"15,4 €/m2","0,0 %","- 2,7 %","+ 0,6 %"
Diciembre 2017,"15,4 €/m2","- 0,3 %","- 2,3 %","+ 0,2 %"
Noviembre 2017,"15,5 €/m2","- 2,5 %","- 2,2 %","+ 3,4 %"
Octubre 2017,"15,9 €/m2","+ 0,4 %","+ 0,8 %","+ 11,1 %"
Septiembre 2017,"15,8 €/m2","- 0,1 %","+ 0,9 %","+ 13,3 %"
Agosto 2017,"15,8 €/m2","+ 0,5 %","+ 3,5 %","+ 14,3 %"
Julio 2017,"15,7 €/m2","+ 0,6 %","+ 2,4 %","+ 15,4 %"
Junio 2017,"15,6 €/m2","+ 2,4 %","- 0,2 %","+ 17,6 %"
Mayo 2017,"15,3 €/m2","- 0,6 %","- 2,3 %","+ 14,8 %"
Abril 2017,"15,4 €/m2","- 2,0 %","+ 0,2 %","+ 15,3 %"
Marzo 2017,"15,7 €/m2","+ 0,3 %","+ 1,8 %","+ 20,6 %"
Febrero 2017,"15,6 €/m2","+ 1,9 %","+ 4,5 %","+ 21,3 %"
Enero 2017,"15,3 €/m2","- 0,3 %","+ 7,5 %","+ 17,8 %"
Diciembre 2016,"15,4 €/m2","+ 2,9 %","+ 10,4 %","+ 20,1 %"
Noviembre 2016,"14,9 €/m2","+ 4,7 %","+ 8,1 %","+ 19,3 %"
Octubre 2016,"14,3 €/m2","+ 2,4 %","+ 4,7 %","+ 15,7 %"
Septiembre 2016,"13,9 €/m2","+ 0,8 %","+ 4,8 %","+ 16,0 %"
Agosto 2016,"13,8 €/m2","+ 1,4 %","+ 3,9 %","+ 16,2 %"
Julio 2016,"13,6 €/m2","+ 2,5 %","+ 2,3 %","+ 17,3 %"
Junio 2016,"13,3 €/m2","0,0 %","+ 2,4 %","+ 16,2 %"
Mayo 2016,"13,3 €/m2","- 0,2 %","+ 3,2 %","+ 14,2 %"
Abril 2016,"13,3 €/m2","+ 2,6 %","+ 2,3 %","+ 13,6 %"
Marzo 2016,"13,0 €/m2","+ 0,9 %","+ 1,4 %","+ 10,4 %"
Febrero 2016,"12,9 €/m2","- 1,1 %","+ 2,8 %","+ 9,5 %"
Enero 2016,"13,0 €/m2","+ 1,6 %","+ 5,6 %","+ 10,5 %"
Diciembre 2015,"12,8 €/m2","+ 2,3 %","+ 6,7 %","+ 11,6 %"
Noviembre 2015,"12,5 €/m2","+ 1,6 %","+ 5,4 %","+ 11,9 %"
Octubre 2015,"12,3 €/m2","+ 2,7 %","+ 6,1 %","+ 11,1 %"
Septiembre 2015,"12,0 €/m2","+ 1,0 %","+ 4,9 %","+ 7,5 %"
Agosto 2015,"11,9 €/m2","+ 2,3 %","+ 2,1 %","+ 7,1 %"
Julio 2015,"11,6 €/m2","+ 1,5 %","- 0,9 %","+ 5,7 %"
Junio 2015,"11,4 €/m2","- 1,7 %","- 2,7 %","+ 4,8 %"
Mayo 2015,"11,6 €/m2","- 0,7 %","- 1,0 %","+ 8,7 %"
Abril 2015,"11,7 €/m2","- 0,3 %","- 0,4 %","+ 8,4 %"
Marzo 2015,"11,8 €/m2","0,0 %","+ 2,4 %","+ 8,8 %"
Febrero 2015,"11,8 €/m2","- 0,1 %","+ 5,1 %","+ 8,0 %"
Enero 2015,"11,8 €/m2","+ 2,6 %","+ 6,1 %","+ 9,0 %"
Diciembre 2014,"11,5 €/m2","+ 2,6 %","+ 2,8 %","+ 6,1 %"
Noviembre 2014,"11,2 €/m2","+ 0,9 %","+ 0,9 %","+ 3,2 %"
Octubre 2014,"11,1 €/m2","- 0,6 %","+ 1,0 %","+ 2,3 %"
Septiembre 2014,"11,2 €/m2","+ 0,6 %","+ 2,3 %","+ 3,1 %"
Agosto 2014,"11,1 €/m2","+ 1,0 %","+ 3,6 %","+ 3,5 %"
Julio 2014,"11,0 €/m2","+ 0,7 %","+ 1,6 %","+ 2,1 %"
Junio 2014,"10,9 €/m2","+ 1,9 %","+ 1,0 %","+ 1,3 %"
Mayo 2014,"10,7 €/m2","- 1,0 %","- 1,7 %","- 1,0 %"
Abril 2014,"10,8 €/m2","0,0 %","+ 0,1 %","- 1,5 %"
Marzo 2014,"10,8 €/m2","- 0,7 %","- 0,1 %","- 3,8 %"
Febrero 2014,"10,9 €/m2","+ 0,8 %","+ 0,4 %","- 3,3 %"
Enero 2014,"10,8 €/m2","- 0,1 %","- 0,4 %","- 3,3 %"
Diciembre 2013,"10,8 €/m2","- 0,3 %","- 0,1 %","- 3,8 %"
Noviembre 2013,"10,8 €/m2","- 0,1 %","+ 1,1 %","- 4,6 %"
Octubre 2013,"10,9 €/m2","+ 0,2 %","+ 0,8 %","- 6,1 %"
Septiembre 2013,"10,8 €/m2","+ 1,0 %","+ 0,5 %","- 6,2 %"
Agosto 2013,"10,7 €/m2","- 0,4 %","- 0,8 %","- 7,1 %"
Julio 2013,"10,8 €/m2","- 0,1 %","- 1,9 %","- 6,9 %"
Junio 2013,"10,8 €/m2","- 0,4 %","- 4,1 %","- 7,7 %"
Mayo 2013,"10,8 €/m2","- 1,5 %","- 3,9 %","- 8,2 %"
Abril 2013,"11,0 €/m2","- 2,2 %","- 1,7 %","- 7,2 %"
Marzo 2013,"11,2 €/m2","- 0,2 %","- 0,1 %","- 6,3 %"
Febrero 2013,"11,3 €/m2","+ 0,7 %","- 1,0 %","- 6,1 %"
Enero 2013,"11,2 €/m2","- 0,7 %","- 3,3 %","- 5,7 %"
Diciembre 2012,"11,2 €/m2","- 1,1 %","- 2,6 %","- 5,7 %"
Noviembre 2012,"11,4 €/m2","- 1,6 %","- 1,6 %","- 4,7 %"
Octubre 2012,"11,6 €/m2","0,0 %","- 0,1 %","- 5,4 %"
Septiembre 2012,"11,6 €/m2","0,0 %","- 1,1 %","- 5,5 %"
Agosto 2012,"11,6 €/m2","- 0,1 %","- 2,0 %","- 3,9 %"
Julio 2012,"11,6 €/m2","- 1,0 %","- 2,3 %","- 3,9 %"
Junio 2012,"11,7 €/m2","- 0,9 %","- 2,6 %","- 2,6 %"
Mayo 2012,"11,8 €/m2","- 0,4 %","- 1,7 %","- 3,4 %"
Abril 2012,"11,8 €/m2","- 1,3 %","- 0,2 %","- 2,3 %"
Marzo 2012,"12,0 €/m2","0,0 %","+ 0,5 %","- 1,3 %"
Febrero 2012,"12,0 €/m2","+ 1,1 %","+ 0,5 %","- 3,4 %"
Enero 2012,"11,9 €/m2","- 0,6 %","- 3,0 %","- 3,1 %"
Diciembre 2011,"11,9 €/m2","0,0 %","- 2,4 %","- 2,8 %"
Noviembre 2011,"11,9 €/m2","- 2,4 %","- 0,7 %","- 4,8 %"
Octubre 2011,"12,2 €/m2","- 0,1 %","+ 1,5 %","- 1,0 %"
Septiembre 2011,"12,2 €/m2","+ 1,8 %","+ 2,0 %","- 5,5 %"
Agosto 2011,"12,0 €/m2","- 0,2 %","- 1,6 %","- 6,4 %"
Julio 2011,"12,0 €/m2","+ 0,4 %","- 0,6 %","- 13,3 %"
Junio 2011,"12,0 €/m2","- 1,8 %","- 1,4 %",n.d.
Mayo 2011,"12,2 €/m2","+ 0,8 %","- 1,6 %",n.d.
Abril 2011,"12,1 €/m2","- 0,4 %","- 1,0 %",n.d.
Marzo 2011,"12,2 €/m2","- 2,0 %","- 1,0 %",n.d.
Febrero 2011,"12,4 €/m2","+ 1,4 %","- 1,0 %",n.d.
Enero 2011,"12,2 €/m2","- 0,3 %","- 0,8 %",n.d.
Diciembre 2010,"12,3 €/m2","- 2,0 %","- 5,2 %",n.d.
Noviembre 2010,"12,5 €/m2","+ 1,5 %","- 2,4 %",n.d.
Octubre 2010,"12,3 €/m2","- 4,7 %","- 11,1 %",n.d.
Septiembre 2010,"12,9 €/m2","+ 0,9 %",n.d.,n.d.
Agosto 2010,"12,8 €/m2","- 7,5 %",n.d.,n.d.
Julio 2010,"13,9 €/m2",n.d.,n.d.,n.d.
Junio 2010,n.d.,n.d.,n.d.,n.d.
Mayo 2010,n.d.,n.d.,n.d.,n.d.
Abril 2010,n.d.,n.d.,n.d.,n.d.
Marzo 2010,n.d.,n.d.,n.d.,n.d.
Febrero 2010,n.d.,n.d.,n.d.,n.d.
Enero 2010,n.d.,n.d.,n.d.,n.d.
Diciembre 2009,n.d.,n.d.,n.d.,n.d.
Noviembre 2009,n.d.,n.d.,n.d.,n.d.
Octubre 2009,n.d.,n.d.,n.d.,n.d.
Septiembre 2009,n.d.,n.d.,n.d.,n.d.
Agosto 2009,n.d.,n.d.,n.d.,n.d.
Julio 2009,n.d.,n.d.,n.d.,n.d.
Junio 2009,n.d.,n.d.,n.d.,n.d.
Mayo 2009,n.d.,n.d.,n.d.,n.d.
Abril 2009,n.d.,n.d.,n.d.,n.d.
Marzo 2009,n.d.,n.d.,n.d.,n.d.
Febrero 2009,n.d.,n.d.,n.d.,n.d.
Enero 2009,n.d.,n.d.,n.d.,n.d.
Diciembre 2008,n.d.,n.d.,n.d.,n.d.
Noviembre 2008,n.d.,n.d.,n.d.,n.d.
Octubre 2008,n.d.,n.d.,n.d.,n.d.
Septiembre 2008,n.d.,n.d.,n.d.,n.d.
Agosto 2008,n.d.,n.d.,n.d.,n.d.
Julio 2008,n.d.,n.d.,n.d.,n.d.
Junio 2008,n.d.,n.d.,n.d.,n.d.
Mayo 2008,n.d.,n.d.,n.d.,n.d.
Abril 2008,n.d.,n.d.,n.d.,n.d.
Marzo 2008,n.d.,n.d.,n.d.,n.d.
Febrero 2008,n.d.,n.d.,n.d.,n.d.
Enero 2008,n.d.,n.d.,n.d.,n.d.
Diciembre 2007,n.d.,n.d.,n.d.,n.d.
Noviembre 2007,n.d.,n.d.,n.d.,n.d.
Octubre 2007,n.d.,n.d.,n.d.,n.d.
Septiembre 2007,n.d.,n.d.,n.d.,n.d.
Agosto 2007,n.d.,n.d.,n.d.,n.d.
Julio 2007,n.d.,n.d.,n.d.,n.d.
Junio 2007,n.d.,n.d.,n.d.,n.d.
Mayo 2007,n.d.,n.d.,n.d.,n.d.
Abril 2007,n.d.,n.d.,n.d.,n.d.
Marzo 2007,n.d.,n.d.,n.d.,n.d.
Febrero 2007,n.d.,n.d.,n.d.,n.d.
Enero 2007,n.d.,n.d.,n.d.,n.d.
Diciembre 2006,n.d.,n.d.,n.d.,n.d.
Noviembre 2006,n.d.,n.d.,n.d.,n.d.
Octubre 2006,n.d.,n.d.,n.d.,n.d.
Septiembre 2006,n.d.,n.d.,n.d.,n.d.
Agosto 2006,n.d.,n.d.,n.d.,n.d.
Julio 2006,n.d.,n.d.,n.d.,n.d.
Junio 2006,n.d.,n.d.,n.d.,n.d.
Mayo 2006,n.d.,n.d.,n.d.,n.d.
Abril 2006,n.d.,n.d.,n.d.,n.d.
Marzo 2006,n.d.,n.d.,n.d.,n.d.
Febrero 2006,n.d.,n.d.,n.d.,n.d.
Enero 2006,n.d.,n.d.,n.d.,n.d.
